"source_file","game_name","cheat_name","original_code_lines","detected_type","code_prefixes","address_or_addresses","values","reason_currently_unsupported","possible_future_support","estimated_runtime_complexity","estimated_resource_risk","correctness_risk","recommended_priority","notes"
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","Always in 1st Place (Ferrari)","36017CD8+0000","other","36","0x017CD8","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","Always in 1st Place (McLaren)","36017CB0+0000","other","36","0x017CB0","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","Always in 1st Place (Tyrrell)","36017BE8+0000","other","36","0x017BE8","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","Always in 1st Place (Williams)","36017C38+0000","other","36","0x017C38","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","P1 Never Wins","360E0008+0000","other","36","0x0E0008","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","P2 Never Wins","360E0009+0000","other","36","0x0E0009","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\G Vector (Jpn T-30603G) (GameHacking).cht","G Vector","Infinite Shield [ReyVGM]","360B9062+0003","other","36","0x0B9062","0x0003","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Grid Runner (GameShark).cht","Grid Runner","P1 Never Wins","360642E7+0000","other","36","0x0642E7","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Grid Runner (GameShark).cht","Grid Runner","P2 Never Wins","3606431F+0000","other","36","0x06431F","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Guardian Force (Jpn T-9905G) (GameHacking).cht","Guardian Force","Infinite Bombs [Helder]","36004019+0009","other","36","0x004019","0x0009","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Guardian Force (Jpn T-9905G) (GameHacking).cht","Guardian Force","Infinite Lives [Helder]","36004018+0009","other","36","0x004018","0x0009","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Guardian Heroes (GameShark).cht","Guardian Heroes","Infinite Continues","3601DBA4+0063","other","36","0x01DBA4","0x0063","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Hyper Duel (Jpn T-1809G) (GameHacking).cht","Hyper Duel","Invincibility [ReyVGM]","360C2988+0005","other","36","0x0C2988","0x0005","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","1HitKill [luc-ita]","1023AA5C+A003+10225200+A003","other","10","0x23AA5C;0x225200","0xA003;0xA003","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Activate cheat infinite lives [luc-ita]","10201B3A+0009","other","10","0x201B3A","0x0009","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Activate cheat level skip [luc-ita]","102025B2+0009","other","10","0x2025B2","0x0009","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Each note adds 999 notes [luc-ita]","10230DC0+0009+10230DC4+0009","other","10","0x230DC0;0x230DC4","0x0009;0x0009","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Moonjump [luc-ita]","1024C53C+FFF5+1024C584+FFF5","other","10","0x24C53C;0x24C584","0xFFF5;0xFFF5","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Take notes, and other objects, anywhere [luc-ita]","10231A98+0009","other","10","0x231A98","0x0009","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Johnny Bazookatone (Euro T-7909H-50) (GameHacking).cht","Johnny Bazookatone","Untouchable [luc-ita]","30259A38+00FF+10216B90+0000","other","10;30","0x259A38;0x216B90","0x00FF;0x0000","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_30","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Linkle Liver Story (English Translation GS-9055) (GameHacking).cht","Linkle Liver Story","999 Pearls [Helder]","102FFF04+03E7","other","10","0x2FFF04","0x03E7","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Linkle Liver Story (English Translation GS-9055) (GameHacking).cht","Linkle Liver Story","Infinite Max Health [Helder]","102FFF02+0064","other","10","0x2FFF02","0x0064","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Linkle Liver Story (English Translation GS-9055) (GameHacking).cht","Linkle Liver Story","Max Health [Helder]","102FFF00+0064","other","10","0x2FFF00","0x0064","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 1 P1","160F0B5E+4000+1026F994+4000","other","10;16","0x0F0B5E;0x26F994","0x4000;0x4000","unsupported or mixed record types: simple_16bit,unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 1 P2","160F0B8E+4000+1026FA1C+4000","other","10;16","0x0F0B8E;0x26FA1C","0x4000;0x4000","unsupported or mixed record types: simple_16bit,unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 10 P1","10254C5C+4000","other","10","0x254C5C","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 10 P2","10254CE4+4000","other","10","0x254CE4","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 11 P1","10265328+4000","other","10","0x265328","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 11 P2","102653B0+4000","other","10","0x2653B0","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 12 P1","1026AF84+4000","other","10","0x26AF84","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 12 P2","1026B00C+4000","other","10","0x26B00C","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 13 P1","10268214+4000","other","10","0x268214","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 13 P2","1026929C+4000","other","10","0x26929C","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 14 P1","10266D64+4000","other","10","0x266D64","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 14 P2","10266DEC+4000","other","10","0x266DEC","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 15 P1","1026B104+4000","other","10","0x26B104","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 15 P2","1026B18C+4000","other","10","0x26B18C","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 2 P1","102711F0+4000","other","10","0x2711F0","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 2 P2","10271278+4000","other","10","0x271278","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 3 P1","10266000+4000","other","10","0x266000","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 3 P2","10266088+4000","other","10","0x266088","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 4 P1","10268000+4000","other","10","0x268000","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 4 P2","10268088+4000","other","10","0x268088","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 5 P1","1026DA28+4000","other","10","0x26DA28","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 5 P2","1026DAB0+4000","other","10","0x26DAB0","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 6 P1","1025F7B8+4000","other","10","0x25F7B8","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 6 P2","1025F840+4000","other","10","0x25F840","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 7 P1","102677EC+4000","other","10","0x2677EC","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 7 P2","10267874+4000","other","10","0x267874","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 8 P1","102708BC+4000","other","10","0x2708BC","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 8 P2","10270944+4000","other","10","0x270944","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 9 P1","1027199C+4000","other","10","0x27199C","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"Loaded (GameShark).cht","Loaded","Infinite Health Level 9 P2","10271A24+4000","other","10","0x271A24","0x4000","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Lode Runner Extra (Jpn T-25103G) (GameHacking).cht","Lode Runner Extra","The game moves with you [luc-ita]","3600DEC6+0001","other","36","0x00DEC6","0x0001","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Magic Carpet (GameShark).cht","Magic Carpet","Infinite Health","1022CBDA+0001","other","10","0x22CBDA","0x0001","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Magic Carpet (Euro T-5006H-50) (GameHacking).cht","Magic Carpet","Infinite Health [Datel]","10236B16+0001","other","10","0x236B16","0x0001","unsupported or mixed record types: unsupported_prefix_10","Opcode research first, then converter-only mapping if it proves to be RAMH direct write; hardware may reuse existing RMW path.","medium","low","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; Unsupported prefix 10 direct-looking write; possible alternate direct/non-RAMH/different-width semantics unconfirmed."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite Gems [ReyVGM]","360BFC69+00FF","other","36","0x0BFC69","0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Invincibility [ReyVGM]","3609AC3B+0002","other","36","0x09AC3B","0x0002","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Marvel Super Heroes (GameShark).cht","Marvel Super Heroes","Max Infinity Bar Player 1","36094A01+00FF","other","36","0x094A01","0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Marvel Super Heroes (USA T-1214H) (GameHacking).cht","Marvel Super Heroes","Max Infinity Bar Player 1 [kstok@pacific.net.sg]","36094A01+00FF","other","36","0x094A01","0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Marvel Super Heroes (GameShark).cht","Marvel Super Heroes","Max Infinity Bar Player 2","360A6451+00FF","other","36","0x0A6451","0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Marvel Super Heroes (USA T-1214H) (GameHacking).cht","Marvel Super Heroes","Max Infinity Bar Player 2 [kstok@pacific.net.sg]","360A6451+00FF","other","36","0x0A6451","0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"libretro-sega-saturn\Marvel Super Heroes (GameShark).cht","Marvel Super Heroes","No Energy Player 1","360949FD+0000","other","36","0x0949FD","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
"manual_import_queue_20260613\Marvel Super Heroes (USA T-1214H) (GameHacking).cht","Marvel Super Heroes","No Energy Player 1 [kstok@pacific.net.sg]","360949FD+0000","other","36","0x0949FD","0x0000","8-bit writes are out of scope for current SRMW/SRMR generator","Single 8-bit direct writes are covered by SRM8/SRM9 experiment, not stable release yet.","low","low","medium","P0","from MISTER_LIBRARY_SKIPPED_20260613.csv; Promote after SRM8/SRM9 timing cleanup."
